Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,CRISPR/CAS9,"Historique des évolutions de la recherche sur les modifications génétiques et particulièrement de la découverte de CRISPR/CAS9, tant sur le plan scientifique que du point de vue de la presse et de la société ainsi que du droit et de la politique.",http://www.up-magazine.info/images/0416/crispr-generique.jpg,Up' Magazine,,,title,,
1974,,,,,,,,,Moratorium sur la recombination ADN,"Le scientifique Paul Berg appelle à un moratorium, pour les scientfiques du monde eniter, sur la recombinaison de l'ADN, dans le but de suspendre certaines recherches autour tnat que les dangers liés n'ont pas été complètement évalués.",,,,,,Scientifique,http://www.crif.org/sites/default/fichiers/images/7292838-adn-l-alphabet-du-vivant-a-deux-nouvelles-lettres.jpg
1983,,,,,,,,,Premiers articles sur la recherche génétique,Première apparition dans la presse des résultats de recherches sur le séquençage ADN et la thérapie génique. Le Monde s'interroge notamment sur leurs possibles applications à l'homme.,,,,,,Social,https://www.kramakrama.com/wp-content/uploads/2014/05/presse.jpg
1990,,,,,,,,,Accord du CCNE,Le Comité Consultatif National d'Ethique autorise en France la thérapie génique sur l'homme,,,"<a href=""http://www.ccne-ethique.fr/ "" title=""Site CCNE"">Site CCNE</a>",,,Politique et droit,http://www.gouvernement.fr/sites/default/files/styles/plein-cadre/public/contenu/image/2016/12/assemblee-960-430.jpg?itok=jDIzKwSn
1993,,,,,,,,,Caractérisation du locus CRISPR,"Francisco Mojica a été le premier chercheur à caractériser ce qu'on appelle maintenant un locus CRISPR. Il a travaillé sur eux tout au long des années 1990 et, en 2000, ses résultats l'ont amené à émettre l'hypothèse, à juste titre, que CRISPR est un système immunitaire adaptatif.",,,,,,Scientifique,http://www.crif.org/sites/default/fichiers/images/7292838-adn-l-alphabet-du-vivant-a-deux-nouvelles-lettres.jpg
1994,7,29,,,,,,,Première loi Française de réglementation,"Loi n°94-653 : Sans préjudice des recherches tendant à la prévention et au traitement des maladies génétiques, aucune transformation ne peut être apportée aux caractères génétiques dans le but de modifier la descendance de la personne. ",https://www.aaaplatform.com/sites/grem/files/field/image/shutterstock_141521542_2.jpg,aaaplatform.com,"<a href=""https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000000549619"" title=""Site Legifrance"">Site Legifrance</a>",,,Politique et droit,http://www.gouvernement.fr/sites/default/files/styles/plein-cadre/public/contenu/image/2016/12/assemblee-960-430.jpg?itok=jDIzKwSn
1996,,,,,,,,,La Croix s'interroge,"Le quotidien français et catholique La Croix traite pour la première fois de thérapie génique. Il s'interroge sur les éventuelles applications à l'Homme, et notamment sur les effets des manipulations génétiques avec Crispr-Cas9.",http://static.aws.la-croix.com/v4dfa667/bundles/lacroixsite/images/logo.svg,,"<a href=""http://www.la-croix.com/"" title=""Site La Croix"">Site La Croix</a>",,,Social,https://www.kramakrama.com/wp-content/uploads/2014/05/presse.jpg
1997,4,4,,,,,,,Convention d'Oviedo,"Convention sur les droits de l'homme et la biomédecine, signée à Oviedo. Article 13 de cette convention : une intervention ayant pour objet de modifier le génome humain ne peut être entreprise que pour des raisons préventives, diagnostiques ou thérapeutiques et seulement si elle n'a pas pour but d'introduire une modification dans le génome de la descendance.",,,,,,Politique et droit,http://www.gouvernement.fr/sites/default/files/styles/plein-cadre/public/contenu/image/2016/12/assemblee-960-430.jpg?itok=jDIzKwSn
2000,,,,,,,,,Controverse des enfants-bulles,,,,,,,Social,
2004,8,6,,,,,,,Interdiction de la recherche embryonnaire,"Loi n° 2004-800 : La recherche sur l’embryon et les cellules embryonnaires est interdite. Par dérogation uniquement, elles peuvent être autorisées, pour une période limitée à cinq ans, si « elles sont susceptibles de permettre des progrès thérapeutiques majeurs ».",https://www.aaaplatform.com/sites/grem/files/field/image/shutterstock_141521542_2.jpg,aaaplatform.com,"<a href=""https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000000441469"" title=""Site Legifrance"">Site Legifrance</a>",,,Politique et droit,http://www.gouvernement.fr/sites/default/files/styles/plein-cadre/public/contenu/image/2016/12/assemblee-960-430.jpg?itok=jDIzKwSn
2010,12,,,,,,,,Caractérisation de CAS9 comme une protéine clivante,"Sylvain Moineau et ses collègues confirment que Cas9 est la seule protéine requise pour le clivage dans le système CRISPR/CAS9. Il s'agit d'une caractéristique distinctive des systèmes CRISPR de type II, dans lesquels l'interférence est médiée par une seule grande 
protéine (ici Cas9).",,,,,,Scientifique ,http://www.crif.org/sites/default/fichiers/images/7292838-adn-l-alphabet-du-vivant-a-deux-nouvelles-lettres.jpg
2011,7,7,,,,,,,Ratification de la convention d'Oviedo,"Loi n° 2011-814 :  Autorise la ratification de la convention du Conseil de l'Europe signée à Oviedo, pour la protection des droits de l'homme et de la dignité de l'être humain à l'égard des applications de la biologie et de la médecine.",https://www.aaaplatform.com/sites/grem/files/field/image/shutterstock_141521542_2.jpg,aaaplatform.com,"<a href=""https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000024323102"" title=""Site Legifrance"">Site Legifrance</a>",,,Politique et droit,http://www.gouvernement.fr/sites/default/files/styles/plein-cadre/public/contenu/image/2016/12/assemblee-960-430.jpg?itok=jDIzKwSn
2012,6,,,,,,,,Découverte de CRISPR/CAS9,"Emmanuelle Charpentier et Jennifer Doudna découvrent véritablement ce qui va être appelé par la suite CRISPR/CAS9, entant que technologie de modification génétique.",,,,,,Scientifique,http://www.crif.org/sites/default/fichiers/images/7292838-adn-l-alphabet-du-vivant-a-deux-nouvelles-lettres.jpg
2013,,,,,,,,,Création de CRISPR-Therapeutics,"Emmanuelle Charpentier crée CRISPR-Therapeutics, avec un siège social en Suisse et des laboratoires aux États-Unis. Il s'agit d'une start-up, se basant sur les brevets de Charpentier, et qui travaille sur les possibilités thérapeutiques pour l’homme avec CRISPR-Cas9.",,,,,,Scientifique,http://www.crif.org/sites/default/fichiers/images/7292838-adn-l-alphabet-du-vivant-a-deux-nouvelles-lettres.jpg
2013,,,,,,,,,Explosition des publications scientifiques,"Conséquence directe de la découverte de CRISPR/CAS9, le nombre de publications scientifiques sur le sujet se voit très rapidement démultiplié. Mme Nicole Haeffner-Cavaillon, chercheuse à l’INSERM recensera, en 2016, 2514 docs sur CRISPR-CAS9 depuis 2011 dont 57 publications en France.",,,,,,Scientifique,http://www.crif.org/sites/default/fichiers/images/7292838-adn-l-alphabet-du-vivant-a-deux-nouvelles-lettres.jpg
2014,,,,,,,,,Apparition des publications grand public,Premières apparitions de la technologie Crispr-Cas9 dans la presse grand public.,,,,,,Social,https://www.kramakrama.com/wp-content/uploads/2014/05/presse.jpg
2015,2,11,,,,,,,Saisie de l'OPECST,"L’Office Parlementaire d’Évaluation des Choix Scientifiques et Technologiques (OPECST) a été saisi, à titre principal, par M. Jean-Paul Chanteguet, président de la commission du développement durable de l’Assemblée Nationale, d’une « demande portant sur les enjeux économiques et environnementaux des biotechnologies ».",,,,,,Politique et droit,http://www.gouvernement.fr/sites/default/files/styles/plein-cadre/public/contenu/image/2016/12/assemblee-960-430.jpg?itok=jDIzKwSn
2015,3,12,,,,,,,Opposition d'une partie du corps scientifique ,"Une partie de la communauté scientifique s’oppose à l'édition des cellules germinales, dont le scientifique Edward Lanphier (président du conseil d'administration de Sangamo Biosciences), pionier dans l’édition génomique. Un appel commun pour ne pas toucher aux embryons humains, même dans le cadre de la recherche, a été lancé.",,,,,,Scientifique,http://www.crif.org/sites/default/fichiers/images/7292838-adn-l-alphabet-du-vivant-a-deux-nouvelles-lettres.jpg
2015,4,18,,,,,,,Premières modifications embryonnaires,"Des chercheurs de Canton ont publié un article dans Protein & Cell annonçant avoir utilisé la technique CRISPR/CAS9 pour modifier génétiquement des embryons humains. Selon Junjiu Huang, qui a dirigé ces recherches, cet article aurait été refusé par Science et par Nature à cause des problèmes éthiques que posent de telles recherches.",,,,,,Scientifique,http://www.crif.org/sites/default/fichiers/images/7292838-adn-l-alphabet-du-vivant-a-deux-nouvelles-lettres.jpg
2015,5,,,,,,,,Saisie de l'INSERM,"Le PDG de l’Institut National de la Santé Et de la Recherche Médicale (INSERM), M. Yves Lévy, a saisi son comité d’éthique sur les questions autour de la technologie Crispr-Cas9, qui publiera en Février 2016 un note initiale avec 5 recommendations : il encourage la recherche, appelle au respect des règles de confinement et à la création de mesures de réversibilité, rappelle l’interdiction de toute modification du génome nucléaire germinal à visée reproductive dans l’espèce humaine, propose de participer à toute initiative nationale ou internationale sans restriction de nationalité, et attire l’attention sur les questions éthiques et philosophiques.",http://medias-presse.info/wp-content/uploads/2014/06/INSERM-mpi.jpg,media-presse.info,"<a href=""https://www.inserm.fr/"" title=""Site Inserm"">Site Inserm</a>",,,Politique et droit,http://www.gouvernement.fr/sites/default/files/styles/plein-cadre/public/contenu/image/2016/12/assemblee-960-430.jpg?itok=jDIzKwSn
2015,10,,,,,,,,Modification génétique du champignon de Paris,"Le chercheur Yinong Yang obtient l'accord du ministère américain de l’Agriculture (US
Department of Agriculture – USDA) de commercialisation d'un champignon de Paris génétiquement modifié avec CRIPR/CAS9. En effet, Yang affirme que le champignon « ne contient pas de matériel génétique introduit » et qu'il n'y a alors « aucune raison de croire que ce champignon modifié devienne un parasite végétal ». ",,,,,,Scientifique ,http://www.crif.org/sites/default/fichiers/images/7292838-adn-l-alphabet-du-vivant-a-deux-nouvelles-lettres.jpg
2015,12,,,,,,,,Conférence modiale à Napa,"Dicussion éthique à Napa en Californie, regroupant des scientifiques du monde entier au sujet de la technologie CRISPR-CAS9 et plus généralement sur l'édition génomique. Cette rénuion a conclu qu'il était urgent de discuter ouvertement des mérites et des risques de la modification du génome humain, en présence d'une large gamme de scientifiques, de cliniciens, de spécialistes des sciences sociales, de grand public et d'entités publiques et groupes d'intérêt pertinents.",,,,,,Scientifique,http://www.crif.org/sites/default/fichiers/images/7292838-adn-l-alphabet-du-vivant-a-deux-nouvelles-lettres.jpg
2016,1,,,,,,,,Authorisation britannique pour la manipulation génétique,"La Grande-Bretagne autorise la manipulation génétique sur des embryons humains, à l'Institut Francis Crick situé à Londres",https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/1280px-Flag_of_the_United_Kingdom.svg.png,Wikipedia,,,,Politique et droit,http://www.gouvernement.fr/sites/default/files/styles/plein-cadre/public/contenu/image/2016/12/assemblee-960-430.jpg?itok=jDIzKwSn
2016,2,,,,,,,,Rapport de la CIA,"La CIA classe la technologie Crispr-Cas9 dans la catégorie ""arme de destruction massive et prolifération"", dans un rapport qui fait état des différentes menaces pour la sécurité nationale des États-Unis. Cette technologie se trouve dans la même catégorie que le développement des armes nucléaires en Corée du Nord et des armes chimiques en Syrie et en Iraq. ",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Flag_of_the_U.S._Central_Intelligence_Agency.svg/1200px-Flag_of_the_U.S._Central_Intelligence_Agency.svg.png,Wikipedia,,,,Politique et droit,http://www.gouvernement.fr/sites/default/files/styles/plein-cadre/public/contenu/image/2016/12/assemblee-960-430.jpg?itok=jDIzKwSn
2016,5,20,,,,,,,75% des Français en défaveur,"D'après un sondage réalisé par l'Institut Français d'Opinion Publique (IFOP) concernant la technologie Cripr, 9% des français en ont entendu parler, et 75% veulent interdire l'usage sur l'embryon humain, dès qu'ils apprennent ce que peut faire la technologie. Toutefois, ils sont nombreux à comprendre et accepter l'usage thérapeutique pour soigner les maladies génétiques chez les adultes.",http://bloor-yorkville.com/wp-content/uploads/cache/images/371-Ifop-Westwego-Inc/371-Ifop-Westwego-Inc-2341348909.png,,"
<a href=""http://www.ifop.com/?option=com_publication&type=poll&id=3394"" title=""Site Ifop"">Site Ifop</a>
",,,Social,https://www.kramakrama.com/wp-content/uploads/2014/05/presse.jpg
2016,5,24,,,,,,,Campagne de sensibilitsation d'Alliance VITA,"L'alliance VITA lance une campagne d'information, ""Stop Bébé OGM"", afin d'alerter les citoyens sur les enjeux éthiques induits par les techniques de modification du génome humain. Elle publie alors une pétition qui atteint 10 000 signatures en moins d'une semaine.",http://levonslesmalentendus.alliancevita.org/wp-content/uploads/2016/11/logo-VITA-400.png,Alliance VITA,"<a href=""http://www.alliancevita.org/"" title=""Site Alliance VITA"">Site Alliance VITA</a>",,,Social,https://www.kramakrama.com/wp-content/uploads/2014/05/presse.jpg
2016,10,,,,,,,,Contestation des conclusions sur les expérimentations de Yang,"Deux scientifiques coréens, Jungeun Kim et Jin-Soo Kim, contestent le fait qu’aucun matériel génétique inséré ne soit plus présent dans le champignon comme l’affirmait Yang à l’USDA. Ils rappellent que Yang a vérifié l’absence d’insertion d’ADN étranger dans le génome du champignon uniquement sur une petite partie d'ADN. Cependant, les deux chercheurs coréens expliquent que seule une analyse du génome entier aurait permis d’être aussi affirmatif.",,,,,,Scientifique,http://www.crif.org/sites/default/fichiers/images/7292838-adn-l-alphabet-du-vivant-a-deux-nouvelles-lettres.jpg
2016,11,,,,,,,,Nouvelle prise de position de l'INSERM,"Le comité éthique INSERM revient sur ses 5 recommandations : il reste opposé à toute demande de modification des règles de l’Article 13 de la convention d’Oviedo, mais d’adapte l’interdiction de toute application clinique comportant des modifications génétiques sur la lignée germinale, au cas par cas pour un nombre réduit de maladies génétiques. Il met notamment en place un comité de pilotage européen.",http://medias-presse.info/wp-content/uploads/2014/06/INSERM-mpi.jpg,media-presse.info,"<a href=""https://www.inserm.fr/"" title=""Site Inserm"">Site Inserm</a>",,,Politique et droit,http://www.gouvernement.fr/sites/default/files/styles/plein-cadre/public/contenu/image/2016/12/assemblee-960-430.jpg?itok=jDIzKwSn
2016,12,,,,,,,,Investissement massif de la NNSFC,"La Chine, à travers la National Natural Science Foundation of China (NNSFC), investit 23 millions de yuans (3,5 millions de dollars) pour 42 projets sur CRISPR.",http://www.drapeauxdespays.fr/data/flags/ultra/cn.png,drapeaudespays.fr,,,,Scientifique,http://www.crif.org/sites/default/fichiers/images/7292838-adn-l-alphabet-du-vivant-a-deux-nouvelles-lettres.jpg
2017,3,,,,,,,,Tests de lutte contre le SIDA,"Il a été montré que le VIH peut être complètement anéanti du corps en utilisant CRISPR. Et avec un effet impressionnant. Après un seul traitement, les scientifiques ont pu montrer que la technique avait éliminé avec succès toutes les traces de l'infection au sein des organes et des tissus chez des souris.",,,,,,Scientifique,http://www.crif.org/sites/default/fichiers/images/7292838-adn-l-alphabet-du-vivant-a-deux-nouvelles-lettres.jpg